compound_id	smiles	series	canonical_postera_id	fragalysis_id	acrylamide	chloroacetamide	mpro_fluorescence_pIC50	mpro_fluorescence_IC50_uM	mpro_rapidfire_pIC50	mpro_rapidfire_IC50_uM	trypsin_IC50_uM	trypsin_mpro_selectivity_ratio
ALP-POS-95f71980-15	CN1CCCN(c2ccc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)cc2)C1=O	Unassigned	ALP-POS-95f71980-15		False	False	4.21436	61.0432				
ALP-POS-95f71980-16	CC(C)(C)c1cc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)no1	Ugi	ALP-POS-95f71980-16		False	False	4.29031	51.2491				
ALP-POS-95f71980-18	CC(C)(C)c1ccc(N(C(=O)c2cc(O)cc(=O)o2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-18		False	False	4.00218	99.5				
ALP-POS-95f71980-19	CC(C)(C)c1ccc(N(C(=O)c2ccnc(N3CCOCC3)n2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Unassigned	ALP-POS-95f71980-19		False	False	4.00218	99.5				
ALP-POS-95f71980-21	CC(C)(C)c1ccc(N(C(=O)c2ccno2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-21		False	False	5.95357	1.11283				
ALP-POS-95f71980-22	CC(C)(C)c1ccc(N(C(=O)c2nnn[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-22		False	False	4.00218	99.5				
ALP-POS-95f71980-23	CC(C)(C)c1ccc(N(C(=O)c2cscn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-23		False	False	6.04991	0.891434				
ALP-POS-95f71980-24	CC(C)(C)c1ccc(N(C(=O)c2cnsn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-24		False	False	4.88029	13.1738				
ALP-POS-95f71980-25	CC(C)(C)c1ccc(N(C(=O)c2cnon2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-25		False	False	5.07518	8.41055				
ALP-POS-95f71980-26	O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1cnn(-c2ccccc2)c1	Ugi	ALP-POS-95f71980-26		False	False	5.53019	2.94994				
ALP-POS-95f71980-27	O=C1CC(c2ccc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)cc2)CC(=O)N1	Unassigned	ALP-POS-95f71980-27		False	False	4.26949	53.7666				
ALP-POS-95f71980-28	O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(N2CCCS2(=O)=O)cc1	Unassigned	ALP-POS-95f71980-28		False	False	4.55542	27.834				
ALP-POS-95f71980-33	Cc1nnn(-c2ccc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)cc2)n1	Ugi	ALP-POS-95f71980-33		False	False	4.47824	33.2476				
